case_id,concept,severity,symptom,topology,show_output,expected_fault,osi_layer,expected_next_command,expected_fix
NET-001,VLAN,Medium,"PC1 cannot ping PC2 even though both PCs should be in the same VLAN","PC1 -> SW1 -> PC2","show vlan brief: VLAN 10 active; Fa0/1 is in VLAN 10; Fa0/2 is in VLAN 20","PC2 is assigned to the wrong VLAN","Layer 2","show interfaces fa0/2 switchport","Assign Fa0/2 to VLAN 10"
NET-002,VLAN,High,"A PC connected to the switch cannot communicate with any device in VLAN 20","PC1 -> SW1; PC1 should be connected to VLAN 20","show vlan brief: VLAN 10 active; VLAN 20 is not present; Fa0/5 is assigned to VLAN 10","VLAN 20 is missing from the switch","Layer 2","show vlan brief","Create VLAN 20 and assign the correct switch port"
NET-003,VLAN,High,"Devices in VLAN 10 on different switches cannot communicate","PC1 -> SW1 -> trunk -> SW2 -> PC2","show interfaces trunk: SW1 Fa0/24 trunking; allowed VLANs: 1,20,30","VLAN 10 is not allowed on the trunk","Layer 2","show interfaces trunk","Allow VLAN 10 on the trunk between the switches"
NET-004,VLAN,Medium,"Devices across a trunk have intermittent or failed communication after VLAN configuration changes","SW1 -> trunk -> SW2","show interfaces trunk: SW1 native VLAN 99; SW2 native VLAN 1","Native VLAN mismatch exists between the two trunk interfaces","Layer 2","show interfaces trunk","Configure the same native VLAN on both trunk interfaces"
NET-005,Default Gateway,Medium,"PC receives an IP address but cannot ping devices outside its local subnet","PC1 -> SW1 -> R1 -> Server; PC1 is in VLAN 10","PC1 IP: 192.168.10.25; Mask: 255.255.255.0; Default Gateway: 192.168.20.1","PC1 has a default gateway from the wrong subnet","Layer 3","ipconfig /all","Set the PC default gateway to 192.168.10.1"
NET-006,Default Gateway,High,"PC can communicate with devices in its local network but cannot reach the router or remote networks","PC1 -> SW1 -> R1","PC1 IP: 192.168.10.25; Mask: 255.255.255.0; Default Gateway: 0.0.0.0","The PC has no default gateway configured","Layer 3","ipconfig /all","Configure the PC with the correct default gateway"
NET-007,Default Gateway,High,"Multiple PCs in VLAN 10 cannot reach remote networks","PCs -> SW1 -> R1","show ip interface brief: G0/0 192.168.20.1/24 up/up; PC subnet: 192.168.10.0/24","The router interface is configured for a different subnet than the connected PCs","Layer 3","show running-config interface gigabitEthernet0/0","Configure the router interface with the correct IP address and subnet"
NET-008,DHCP,High,"PC does not receive an IP address from the DHCP server","PC1 -> SW1 -> R1; DHCP server is on another network","show ip dhcp pool: Network 192.168.20.0/24; PC VLAN network: 192.168.10.0/24","DHCP pool is configured for the wrong network","Layer 3","show ip dhcp pool","Configure the DHCP pool for the correct client network"
NET-009,DHCP,High,"New PCs in VLAN 20 receive no IP address","PCs -> SW1 -> R1","show running-config: no ip dhcp pool VLAN20; VLAN 20 gateway is 192.168.20.1","No DHCP pool exists for VLAN 20","Layer 3","show running-config | section dhcp","Create a DHCP pool for VLAN 20 with the correct network and gateway"
NET-010,DHCP,High,"PCs in a remote VLAN receive APIPA addresses instead of DHCP addresses","PC1 -> SW1 -> R1 -> DHCP Server; DHCP server is on 192.168.30.0/24","show running-config interface vlan 10: no ip helper-address configured; DHCP server: 192.168.30.10","DHCP relay configuration is missing on the client VLAN interface","Layer 3","show running-config interface vlan 10","Configure ip helper-address 192.168.30.10 on the VLAN interface"
NET-011,DHCP,Medium,"Some PCs receive DHCP addresses but new PCs cannot obtain an address","Multiple PCs -> SW1 -> R1","show ip dhcp pool: Total addresses 50; Leased addresses 50","The DHCP address pool has no available addresses","Layer 3","show ip dhcp pool","Increase the available DHCP address range or add another appropriate DHCP pool"
