case_id,ai_root_cause,decision,final_root_cause,reviewer_note,timestamp
NET-001,PC2 is assigned to the wrong VLAN,Accepted,PC2 is assigned to the wrong VLAN,Evidence directly supports the diagnosis.,2026-08-18T05:25:06.121996
NET-002,VLAN 20 is missing from the switch,Accepted,VLAN 20 is missing from the switch,The show vlan output confirms VLAN 20 is absent.,2026-08-18T05:26:14.121996
NET-003,VLAN 10 is not allowed on the trunk,Accepted,VLAN 10 is not allowed on the trunk,Trunk output directly confirms VLAN 10 is not allowed.,2026-08-18T05:27:22.121996
NET-004,Native VLAN mismatch exists between the trunk interfaces,Accepted,Native VLAN mismatch exists between the trunk interfaces,The two trunk interfaces use different native VLANs.,2026-08-18T05:28:30.121996
NET-005,PC1 has a default gateway from the wrong subnet,Accepted,PC1 has a default gateway from the wrong subnet,Gateway address is outside the PC subnet.,2026-08-18T05:29:38.121996
NET-006,The PC has no default gateway configured,Accepted,The PC has no default gateway configured,Gateway value is 0.0.0.0.,2026-08-18T05:30:46.121996
NET-007,The router interface is configured for a different subnet than the connected PCs,Accepted,The router interface is configured for a different subnet than the connected PCs,Interface and PC networks do not match.,2026-08-18T05:31:54.121996
NET-008,DHCP pool is configured for the wrong network,Accepted,DHCP pool is configured for the wrong network,The DHCP pool network differs from the client VLAN network.,2026-08-18T05:33:02.121996
NET-009,No DHCP pool exists for VLAN 20,Accepted,No DHCP pool exists for VLAN 20,Configuration confirms there is no VLAN 20 DHCP pool.,2026-08-18T05:34:10.121996
NET-010,DHCP relay configuration is missing on the client VLAN interface,Accepted,DHCP relay configuration is missing on the client VLAN interface,The VLAN interface has no helper address.,2026-08-18T05:35:18.121996
NET-011,The DHCP address pool has no available addresses,Accepted,The DHCP address pool has no available addresses,All 50 available addresses are leased.,2026-08-18T05:36:26.121996
NET-012,PC is configured with an incorrect DNS server address,Accepted,PC is configured with an incorrect DNS server address,IP connectivity works but DNS configuration is incorrect.,2026-08-18T05:37:34.121996
NET-013,DNS service is unavailable or not responding,Accepted,DNS service is unavailable or not responding,The DNS server is reachable but DNS requests time out.,2026-08-18T05:38:42.121996
NET-014,DNS record for webserver.local is missing,Accepted,DNS record for webserver.local is missing,Other DNS records resolve but the requested record does not exist.,2026-08-18T05:39:50.121996
NET-015,R1 is missing a static route to the server network,Accepted,R1 is missing a static route to the server network,Routing table has no route to 192.168.30.0/24.,2026-08-18T05:40:58.121996
NET-016,Static route uses an incorrect next-hop address,Edited,Static route uses an incorrect next-hop address 10.0.0.6 instead of R2 at 10.0.0.2,AI correctly identified the next-hop problem but the final diagnosis must identify the correct next-hop address.,2026-08-18T05:42:06.121996
NET-017,Static route points to the wrong destination network,Accepted,Static route points to the wrong destination network,The configured route targets 192.168.30.0/24 while the server network is 192.168.40.0/24.,2026-08-18T05:43:14.121996
NET-018,Static route depends on an interface that is down,Accepted,Static route depends on an interface that is down,Interface status confirms the forwarding interface is down.,2026-08-18T05:44:22.121996
NET-019,OSPF adjacency is not forming between R1 and R2,Accepted,OSPF adjacency is not forming between R1 and R2,No OSPF neighbor is present despite both interfaces being up.,2026-08-18T05:45:30.121996
NET-020,The server network is not being advertised into OSPF by R2,Edited,R2 is not advertising 192.168.30.0/24 into OSPF,AI correctly identified the routing advertisement issue but the final diagnosis specifies the missing network advertisement.,2026-08-18T05:46:38.121996
NET-021,RIP version configuration is inconsistent between routers,Accepted,RIP version configuration is inconsistent between routers,R1 uses RIP version 2 while R2 uses version 1.,2026-08-18T05:47:46.121996
NET-022,ACL explicitly denies traffic from VLAN 10 to VLAN 30,Accepted,ACL explicitly denies traffic from VLAN 10 to VLAN 30,The ACL contains a direct deny matching the traffic.,2026-08-18T05:48:54.121996
NET-023,ACL is applied in the wrong direction for the intended traffic flow,Edited,ACL 101 is applied outbound when the intended filtering direction requires inbound placement,The AI identified the ACL issue but the reviewer clarified the required traffic direction.,2026-08-18T05:50:02.121996
NET-024,ACL blocks all traffic from the guest VLAN,Accepted,ACL blocks all traffic from the guest VLAN,The ACL explicitly denies traffic from the guest subnet.,2026-08-18T05:51:10.121996
NET-025,Traffic to other servers is blocked by the implicit deny at the end of the ACL,Accepted,Traffic to other servers is blocked by the implicit deny at the end of the ACL,Only one server is explicitly permitted.,2026-08-18T05:52:18.121996
NET-026,NAT overload is not configured for the internal network,Accepted,NAT overload is not configured for the internal network,No NAT translations or inside source configuration are present.,2026-08-18T05:53:26.121996
NET-027,The LAN interface is incorrectly configured as NAT outside instead of NAT inside,Rejected,,The AI diagnosis was not accepted because the reviewer determined the available evidence was insufficient to approve the proposed NAT correction.,2026-08-18T05:54:34.121996
NET-028,NAT ACL permits the wrong internal network,Accepted,NAT ACL permits the wrong internal network,The NAT ACL permits 192.168.20.0/24 instead of the actual LAN network.,2026-08-18T05:55:42.121996
NET-029,Wireless client VLAN is not being carried across the trunk,Accepted,Wireless client VLAN is not being carried across the trunk,Trunk output confirms VLAN 50 is not allowed.,2026-08-18T05:56:50.121996
NET-030,DHCP relay is missing for the wireless client VLAN,Accepted,DHCP relay is missing for the wireless client VLAN,The VLAN interface has no helper address while DHCP is on another network.,2026-08-18T05:57:58.121996
NET-005,Gateway is outside the local subnet,Edited,PC1 has an incorrect default gateway. The configured gateway 192.168.20.1 is outside the PC's 192.168.10.0/24 subnet.,The supplied IP address and subnet mask show that 192.168.20.1 is not in the PC's local subnet. The diagnosis was correct in general but was edited to explicitly identify the subnet mismatch.,2026-08-18T05:54:05.791197
NET-016,Static route uses an incorrect next-hop address,Edited,The static route to 192.168.30.0/24 uses the incorrect next-hop address 10.0.0.6. The correct R2 next hop on the R1-R2 link is 10.0.0.2.,"The AI identified an incorrect next hop, but the diagnosis was edited to explicitly compare the configured next hop with R2's supplied address.",2026-08-18T06:03:03.310464
NET-020,The server network is not being advertised into OSPF by R2,Edited,"R2's 192.168.30.0/24 server network is not being advertised into OSPF. The R1-R2 adjacency is already FULL, so the missing route advertisement is the relevant issue.","The OSPF neighbor is already FULL, ruling out adjacency formation as the primary issue. The missing 192.168.30.0/24 route indicates that R2 is not advertising its server network.",2026-08-18T06:03:40.394788
NET-023,ACL is applied in the wrong direction for the intended traffic flow,Rejected,,"The available evidence shows the ACL and its direction, but it does not establish the complete intended traffic flow or prove that the application direction is the root cause. Additional interface and traffic-flow verification is required before accepting a corrective diagnosis.",2026-08-18T06:04:23.788968
NET-028,NAT ACL permits the wrong internal network,Rejected,,"The NAT ACL does not match the supplied LAN network, but the available evidence does not show the complete NAT configuration or interface roles. The AI recommendation should not be accepted as the confirmed root cause without additional verification.",2026-08-18T06:05:05.043127
NET-001,"The switch ports connecting PC1 and PC2 are not configured to be in the same VLAN (VLAN 10), preventing Layer 2 communication.",Accepted,"The switch ports connecting PC1 and PC2 are not configured to be in the same VLAN (VLAN 10), preventing Layer 2 communication.",done,2026-08-19T02:56:34.316393
NET-001,The switch ports connecting PC1 and PC2 are not configured to place both devices in the same VLAN (VLAN 10).,Accepted,The switch ports connecting PC1 and PC2 are not configured to place both devices in the same VLAN (VLAN 10).,,2026-08-19T03:11:38.630083
